Date,Cost
2025-05-17,886.95
2025-05-17,1225.43
2025-05-17,1396.46
2025-05-17,38.77
2025-05-17,1833.4
2025-05-17,1596.68
2025-05-18,2066.93
2025-05-18,1240.42
2025-05-18,3356.94
2025-05-18,3796.23
2025-05-18,2900.94
2025-05-18,4126.65
2025-05-18,537.73
2025-05-18,654.79
2025-05-18,717.69
2025-05-18,1701.64
2025-05-18,663.13
2025-05-18,660.55
2025-05-18,2240.82
2025-05-18,1579.45
2025-05-18,1002.68
2025-05-18,2083.76
2025-05-18,1029.74
2025-05-19,2019.42
2025-05-19,1229.38
2025-05-19,3379.05
2025-05-19,3806.94
2025-05-19,6960.01
2025-05-19,4187.13
2025-05-19,1067.25
2025-05-19,1193.34
2025-05-19,867.98
2025-05-19,1084.39
2025-05-19,952.17
2025-05-19,689.43
2025-05-19,637.9
2025-05-19,1285.12
2025-05-19,1573.02
2025-05-19,1000.39
2025-05-19,2796.81
2025-05-19,2458.75
2025-05-20,1845.72
